segment_name,segment_id,point_index,longitude,latitude,plate1,plate2,boundary_type
EU-SU,103,12,103.746,17.6848,EU,SU,:CCB*
EU-SU,103,13,104.312,17.7085,EU,SU,:CCB*
EU-SU,103,14,104.878,17.7305,EU,SU,:CCB*
EU-SU,103,15,105.817,17.7504,EU,SU,:CCB*
EU-SU,103,16,106.756,17.7659,EU,SU,:CCB*
EU-SU,103,17,107.695,17.7769,EU,SU,:CCB*
EU-SU,103,18,108.634,17.7835,EU,SU,:CCB*
EU-SU,103,19,109.573,17.7855,EU,SU,:CCB*
EU-SU,103,20,110.512,17.7831,EU,SU,:CCB*
EU-SU,103,21,111.04,17.8697,EU,SU,:CCB*
EU-SU,103,22,111.569,17.9548,EU,SU,:CCB*
EU-SU,103,23,112.098,18.0385,EU,SU,:CCB*
EU-SU,103,24,112.628,18.1207,EU,SU,:CCB*
EU-SU,103,25,113.313,18.2804,EU,SU,:CCB*
EU-SU,103,26,114,18.4377,EU,SU,:CCB*
YA-SU,104,0,114,18.4377,YA,SU,CTF
YA-SU,104,1,114.419,18.8261,YA,SU,CTF
YA-SU,104,2,114.926,19.3405,YA,SU,CTF
YA-SU,104,3,115.494,19.6873,YA,SU,CTF
YA-SU,104,4,116.319,19.8153,YA,SU,CTF
YA-SU,104,5,117.145,19.9395,YA,SU,CTF
YA-SU,104,6,117.504,20.3301,YA,SU,CTF
YA-SU,104,7,117.864,20.7199,YA,SU,CTF
YA-SU,104,8,118.045,21.4983,YA,SU,CTF
YA-SU,104,9,118.484,22.1067,YA,SU,CTF
YA-SU,104,10,118.958,22.0031,YA,SU,CTF
YA-SU,104,11,119.618,22.2686,YA,SU,CTF
YA-SU,104,12,120.036,21.9509,YA,SU,CTF
YA-SU,104,13,120.452,21.6321,YA,SU,CTF
BU-EU,105,0,96.4803,14.4,BU,EU,CCB*
BU-EU,105,1,96.4537,14.9093,BU,EU,CCB*
BU-EU,105,2,96.4061,15.1355,BU,EU,CCB*
IN-EU,106,0,96.4061,15.1355,IN,EU,:CTF*
IN-EU,106,1,96.4193,15.3962,IN,EU,:CTF*
IN-EU,106,2,96.4472,16.0034,IN,EU,:CTF*
IN-EU,106,3,96.4697,16.6438,IN,EU,:CTF*
IN-EU,106,4,96.4661,17.4351,IN,EU,:CTF*
IN-EU,106,5,96.4207,17.9816,IN,EU,:CTF*
IN-EU,106,6,96.3414,18.7048,IN,EU,:CTF*
IN-EU,106,7,96.2254,19.4119,IN,EU,:CTF*
IN-EU,106,8,96.0158,20.0399,IN,EU,:CTF*
IN-EU,106,9,95.9427,20.9001,IN,EU,:CTF*
IN-EU,106,10,95.9183,21.681,IN,EU,:CTF*
IN-EU,106,11,95.9181,22.3522,IN,EU,:CTF*
IN-EU,106,12,95.9093,23.015,IN,EU,:CTF*
IN-EU,106,13,95.9691,23.7605,IN,EU,:CTF*
IN-EU,106,14,96.1173,24.4801,IN,EU,:CTF*
IN-EU,106,15,96.3104,25.1336,IN,EU,:CTF*
IN-EU,106,16,96.5813,25.6469,IN,EU,:CTF*
IN-EU,106,17,96.9056,26.2874,IN,EU,:CTF*
IN-EU,106,18,97.1304,26.8202,IN,EU,:CTF*
IN-EU,106,19,97.3465,27.2411,IN,EU,:CTF*
IN-EU,106,20,97.4711,27.7024,IN,EU,:CTF*
IN-EU,106,21,97.3484,28.0826,IN,EU,:CTF*
IN-EU,107,0,92.2781,6.94757,IN,EU,:CTF*
IN-EU,107,1,92.3761,6.33253,IN,EU,:CTF*
IN-EU,107,2,92.5375,5.70195,IN,EU,:CTF*
IN-EU,107,3,92.6651,5.00508,IN,EU,:CTF*
IN-EU,107,4,92.903,4.38448,IN,EU,:CTF*
IN-EU,107,5,93.227,3.71599,IN,EU,:CTF*
IN-EU,107,6,93.7535,3.04767,IN,EU,:CTF*
IN-EU,107,7,94.4052,2.45683,IN,EU,:CTF*
IN-EU,107,8,94.9794,2.1041,IN,EU,:CTF*
IN-EU,108,0,94.9794,2.1041,IN,EU,:CTF*
IN-EU,108,1,95.5419,1.88178,IN,EU,:CTF*
IN-EU,108,2,96.0886,1.48729,IN,EU,:CTF*
IN-EU,108,3,96.2019,1.345,IN,EU,:CTF*
IN-EU,109,0,96.2019,1.345,IN,EU,:CTF*
IN-EU,109,1,96.3795,1.12302,IN,EU,:CTF*
IN-EU,109,2,96.6703,0.758714,IN,EU,:CTF*
IN-EU,109,3,97.0106,0.115925,IN,EU,:CTF*
