event_id,year,longitude,latitude,depth,magnitude,mb,ms,strike1,dip1,rake1,distance_to_boundary,boundary_type,plate1,plate2,segment_id,relative_velocity,movement_direction,convergence_rate,transform_rate,extension_rate,boundary_motion_type,grid_cell,is_near_boundary,fault_type,fault_type_code
B111978C,1978,172.48,52.7,47.0,5.3,5.3,5.2,58.0,314.0,172.0,0.9247160699371348,:OSR,PA,JF,63,0.0,0.0,0.0,0.0,0.0,unknown,352_142,1,strike-slip,0
B120178A,1978,158.86,50.93,42.0,5.5,5.5,5.3,62.0,263.0,98.0,0.8366577854774299,:OSR,PA,JF,62,0.0,0.0,0.0,0.0,0.0,unknown,338_140,1,reverse,1
C120678A,1978,146.58,44.59,118.0,6.7,6.7,0.0,18.0,22.0,282.0,2.052771056401565,:OSR,PA,JF,62,0.0,0.0,0.0,0.0,0.0,unknown,326_134,0,normal,2
B120978A,1978,150.11,45.34,54.0,5.6,5.6,0.0,69.0,269.0,130.0,1.1751288269802629,:OSR,PA,JF,62,0.0,0.0,0.0,0.0,0.0,unknown,330_135,0,reverse,1
B121578A,1978,175.23,52.11,47.0,5.6,5.6,5.6,68.0,325.0,167.0,1.058245831553336,:OSR,PA,JF,63,0.0,0.0,0.0,0.0,0.0,unknown,355_142,0,strike-slip,0
B122378C,1978,141.38,32.49,21.0,5.5,5.5,5.5,73.0,258.0,91.0,0.6177100938142465,:OCB,PS,CL,79,2.0312854415914794,142.42709710857022,0.6093856324774438,1.0156427207957397,0.4062570883182959,transform,321_122,1,reverse,1
B011979A,1979,143.92,41.54,17.0,5.5,5.5,5.3,14.0,145.0,44.0,0.8748742766820948,:OSR,,EU,59,0.0,0.0,0.0,0.0,0.0,unknown,323_131,1,reverse,1
B012279B,1979,175.18,51.13,33.0,5.4,5.4,4.5,9.0,244.0,340.0,0.3916072522311012,:OSR,PA,JF,63,0.0,0.0,0.0,0.0,0.0,unknown,355_141,1,strike-slip,0
B012579D,1979,148.9,50.5,575.0,5.4,5.4,0.0,41.0,106.0,306.0,6.266789753135182,:CCB,OK,AM,101,0.4047746296856003,64.61952949414861,0.12143238890568009,0.20238731484280015,0.08095492593712006,transform,328_140,0,normal,2
B013179A,1979,131.2,42.78,545.0,5.7,5.7,0.0,38.0,49.0,301.0,6.697886010525993,:CRB*,AM,EU,102,0.5376695462305108,73.65361314190099,0.16130086386915324,0.2688347731152554,0.10753390924610216,transform,311_132,0,normal,2
C022079A,1979,143.7,40.23,10.0,6.4,6.0,6.4,59.0,307.0,115.0,0.6053039236614919,:OSR,,EU,59,0.0,0.0,0.0,0.0,0.0,unknown,323_130,1,reverse,1
B022179A,1979,143.69,40.36,30.0,5.5,5.5,4.5,60.0,304.0,114.0,0.6570573871436243,:OSR,,EU,59,0.0,0.0,0.0,0.0,0.0,unknown,323_130,1,reverse,1
B031079C,1979,141.6,37.31,46.0,5.4,5.4,5.2,74.0,244.0,105.0,1.6146993032760006,:OSR,,EU,59,0.0,0.0,0.0,0.0,0.0,unknown,321_127,0,reverse,1
B042479B,1979,142.07,41.56,73.0,5.3,5.3,0.0,69.0,305.0,112.0,2.48833779861177,:OSR,,EU,59,0.0,0.0,0.0,0.0,0.0,unknown,322_131,0,reverse,1
